@relation ships


@attribute displacement integer
@attribute lenght integer
@attribute beam integer
@attribute draft integer
@attribute speed integer
@attribute range integer
@attribute crew integer
@attribute class {Carrier,Cruiser,Destroyer,Submarine,Battleship}

@data
5223,400,39,23,18,37500,157,'Submarine'
5223,400,39,23,18,37500,157,'Submarine'
2095,356,31,17,18,21000,94,'Submarine'
1526,312,27,17,20,11000,80,'Submarine'
1550,312,27,17,20,11000,80,'Submarine'
1550,312,27,17,20,11000,81,'Submarine'
1550,312,27,17,20,11000,81,'Submarine'
810,239,22,13,14,7400,37,'Submarine'
1550,312,27,17,20,11000,66,'Submarine'
1550,312,27,17,20,11000,81,'Submarine'
1549,312,27,17,21,11000,60,'Submarine'
576,205,17,12,14,1500,39,'Submarine'
1550,312,27,17,20,11000,66,'Submarine'
1370,300,26,15,19,11000,50,'Submarine'
1370,301,25,15,19,11000,73,'Submarine'
1550,312,27,17,20,11000,81,'Submarine'
1526,312,27,15,20,11000,66,'Submarine'
1526,312,27,15,20,11000,66,'Submarine'
1526,312,27,15,20,11000,60,'Submarine'
1549,312,27,17,21,11000,60,'Submarine'
1549,312,27,17,21,11000,60,'Submarine'
578,186,17,15,13,3700,29,'Submarine'
1549,312,27,17,20,11000,60,'Submarine'
1549,312,27,17,21,11000,60,'Submarine'
1549,312,27,17,21,11000,60,'Submarine'
868,219,21,16,?,5000,42,'Submarine'
840,255,21,14,19,9800,48,'Submarine'
1526,312,27,15,20,11000,60,'Submarine'
1549,312,27,17,21,11000,60,'Submarine'
1526,312,27,17,20,11000,81,'Submarine'
1550,312,27,17,20,11000,81,'Submarine'
1550,312,27,17,20,11000,81,'Submarine'
1450,308,26,14,21,11800,55,'Submarine'
1550,311,27,17,20,11000,81,'Submarine'
1550,312,27,17,20,11000,80,'Submarine'
1526,312,27,15,20,11000,60,'Submarine'
1458,308,26,15,21,11800,55,'Submarine'
1549,311,27,17,21,11000,60,'Submarine'
1550,312,27,17,20,11000,81,'Submarine'
1550,312,27,17,20,11000,81,'Submarine'
1550,312,27,17,20,11000,66,'Submarine'
1549,312,27,17,21,11000,60,'Submarine'
1490,312,27,17,20,11000,78,'Submarine'
1090,275,26,14,15,4500,59,'Submarine'
1526,312,27,17,20,11000,60,'Submarine'
1600,312,27,17,20,11000,81,'Submarine'
1550,312,27,17,20,11000,80,'Submarine'
1090,275,27,14,15,4500,59,'Submarine'
1549,312,27,17,21,11000,60,'Submarine'
1084,255,24,16,17,14700,46,'Submarine'
279,140,13,13,12,3800,27,'Submarine'
1144,252,23,15,18,13850,48,'Submarine'
1144,252,23,15,18,13850,48,'Submarine'
769,220,20,16,17,8500,47,'Submarine'
1232,252,22,15,18,13450,56,'Submarine'
1595,252,26,21,16,15500,57,'Submarine'
626,212,19,14,17,6200,38,'Submarine'
1621,251,26,21,15,15500,57,'Submarine'
1032,251,21,15,18,10000,48,'Submarine'
291,144,13,13,12,3800,25,'Submarine'
769,220,16,18,18,8500,52,'Submarine'
769,220,20,18,18,8500,60,'Submarine'
769,220,20,16,18,8500,56,'Submarine'
1580,287,25,18,20,12750,66,'Submarine'
1120,252,23,15,19,25620,56,'Submarine'
1549,312,27,17,21,11000,60,'Submarine'
1549,312,27,17,21,11000,60,'Submarine'
35000,680,108,36,27,15000,1793,'Battleship'
29799,807,91,27,31,12000,2251,'Cruiser'
31400,608,106,29,21,8000,1385,'Battleship'
29150,643,104,33,25,8600,1184,'Battleship'
41700,824,118,33,30,8525,2092,'Battleship'
23230,544,88,32,21,4700,1133,'Battleship'
28800,611,92,34,28,3100,1236,'Battleship'
28800,611,92,34,28,3100,1236,'Battleship'
31500,772,98,32,31,8400,1669,'Battleship'
32156,728,101,31,30,10000,1360,'Battleship'
37187,728,101,32,30,10000,1360,'Battleship'
48350,860,104,32,29,5332,1418,'Battleship'
39780,745,103,30,28,15600,1521,'Battleship'
35800,720,111,30,25,9500,1463,'Battleship'
41377,778,107,31,30,4500,1920,'Battleship'
44560,887,108,37,33,18000,1921,'Battleship'
35560,813,108,31,32,8500,911,'Battleship'
38031,745,103,32,28,5400,1631,'Battleship'
32156,728,101,32,30,10000,1360,'Battleship'
41377,778,107,31,30,4500,1920,'Battleship'
23936,545,88,32,20,4600,1133,'Battleship'
30600,645,104,30,25,4400,1184,'Battleship'
33100,624,98,31,21,21100,1080,'Battleship'
32514,624,97,30,21,8000,1081,'Battleship'
44560,887,108,37,33,18000,1921,'Battleship'
65000,862,121,32,27,7200,2399,'Battleship'
39050,725,113,31,27,5500,1368,'Battleship'
42850,725,114,31,27,5500,1368,'Battleship'
33800,710,106,30,23,7000,1314,'Battleship'
44560,887,108,37,33,18000,1921,'Battleship'
10288,348,69,24,17,5500,473,'Battleship'
24800,594,88,30,24,3200,1149,'Battleship'
31400,608,97,29,21,8500,915,'Battleship'
23230,381,88,32,20,4700,1133,'Battleship'
29700,646,90,33,24,8600,1220,'Battleship'
37960,813,108,31,30,5500,1670,'Battleship'
34270,710,106,31,23,14500,1314,'Battleship'
